出,曲牌,是否前腔,顺序,句式
第一出,渔家傲,否,1,"[7, 7, 7, 3, 7, 7, 7, 6, 3, 7]",7,7,7,3,7,7,7,6,3,7
第二出,破齐阵,否,1,"[6, 6, 4, 4, 6, 8, 8, 5]",6,6,4,4,6,8,8,5
第二出,菩萨蛮倒句,否,2,"[7, 7, 5, 5, 5, 5, 5, 5, 9, 7, 4, 7, 4, 4, 6, 4, 6, 6, 6, 6, 6, 9, 11, 3, 9, 11, 3, 1, 8, 8, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 3, 3, 7, 4, 3, 3, 7, 10, 7, 7, 6, 7, 6, 3, 3, 4, 6, 3, 5, 6, 3, 7, 5, 6, 3, 7, 1, 4, 4, 6, 4, 9, 8, 7]",7,7,5,5,5,5,5,5,9,7,4,7,4,4,6,4,6,6,6,6,6,9,11,3,9,11,3,1,8,8,4,4,7,4,4,7,4,7,4,7,4,3,3,7,4,3,3,7,10,7,7,6,7,6,3,3,4,6,3,5,6,3,7,5,6,3,7,1,4,4,6,4,9,8,7
第二出,柳摇金,否,3,"[4, 4, 5, 6, 5, 7, 4, 4, 2, 7, 4, 5, 6]",4,4,5,6,5,7,4,4,2,7,4,5,6
第三出,集唐,否,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0
第三出,赏花时,否,2,"[7, 7, 7, 8, 8]",7,7,7,8,8
第三出,么,否,3,"[10, 10, 8, 3, 9, 2, 8]",10,10,8,3,9,2,8
第三出,中吕粉蝶儿,否,4,"[4, 7, 8, 3, 3, 5, 6, 8]",4,7,8,3,3,5,6,8
第三出,醉春风,否,5,"[10, 11, 9, 9, 7, 7, 10]",10,11,9,9,7,7,10
第三出,红绣鞋,否,6,"[7, 7, 3, 3, 5, 5, 7]",7,7,3,3,5,5,7
第三出,迎仙客,否,7,"[9, 10, 2, 2, 5, 6, 6, 2, 4, 12, 2, 6, 5, 11, 6]",9,10,2,2,5,6,6,2,4,12,2,6,5,11,6
第三出,石榴花,否,8,"[11, 8, 12, 10, 7, 4, 4, 3, 8, 7, 4, 10]",11,8,12,10,7,4,4,3,8,7,4,10
第三出,斗鹌鹑,否,9,"[8, 9, 8, 6, 4, 7, 5, 7, 9, 2, 7, 2, 7, 2, 7]",8,9,8,6,4,7,5,7,9,2,7,2,7,2,7
第三出,上小楼,否,10,"[8, 7, 7, 4, 5, 3, 9, 5, 7, 4, 4, 9, 5, 5, 4, 4, 8]",8,7,7,4,5,3,9,5,7,4,4,9,5,5,4,4,8
第三出,么,否,11,"[9, 5, 6, 7, 9, 4, 4, 4, 3, 3, 8, 13]",9,5,6,7,9,4,4,4,3,3,8,13
第三出,白鹤子,否,12,"[7, 5, 7, 6]",7,5,7,6
第三出,么,否,13,"[3, 3, 3, 3, 9, 12]",3,3,3,3,9,12
第三出,么,否,14,"[5, 3, 3, 3, 5, 9, 9]",5,3,3,3,5,9,9
第三出,么,否,15,"[6, 6, 4, 6, 9]",6,6,4,6,9
第三出,快活三,否,16,"[9, 9, 9, 9]",9,9,9,9
第三出,鲍老儿,否,17,"[8, 7, 7, 4, 8, 7]",8,7,7,4,8,7
第三出,满庭芳,否,18,"[7, 8, 7, 9, 10, 10, 7, 7, 1, 7, 7]",7,8,7,9,10,10,7,7,1,7,7
第三出,耍孩儿,否,19,"[12, 13, 11, 8, 9, 7, 6, 7, 7]",12,13,11,8,9,7,6,7,7
第三出,尾声,否,20,"[9, 9, 11, 14]",9,9,11,14
第四出,锁南枝,否,1,"[3, 3, 8, 5, 6, 5, 4, 4, 4, 5, 3, 8]",3,3,8,5,6,5,4,4,4,5,3,8
第四出,锁南枝,是,2,"[3, 3, 9, 4, 6, 7, 7, 6, 6, 3, 3, 3, 3, 3, 4]",3,3,9,4,6,7,7,6,6,3,3,3,3,3,4
