章节,第4次,诗人
第一出,4,王实辅
第二出,4,韩偓
第三出,4,刘禹锡
第四出,4,韩愈
第五出,4,钱起
第六出,4,章碣
第七出,4,张祜
第八出,4,薛能
第九出,4,杜甫
第十出,4,韦庄
第十一出,4,唐彦谦
第十四出,4,韩偓
第十五出,4,王建
第十六出,4,项斯
第二十出,4,张籍
第二十一出,4,李白
第二十二出,4,罗隐
第二十三出,4,元稹
第二十五出,4,廉氏
第二十六出,4,章碣
第二十七出,4,罗虬
第二十八出,4,张子容
第三十出,4,胡宿
第三十一出,4,谭用之
第三十二出,4,熊孺登
第三十三出,4,刘长卿
第三十四出,4,王建
第三十五出,4,潘雍
第三十六出,4,戴叔伦
第三十七出,4,僧子兰
第三十八出,4,曹唐
第三十九出,4,李端
第四十出,4,王维
第四十一出,4,杜牧
第四十二出,4,罗邺
第四十三出,4,张籍
第四十四出,4,元稹
第四十五出,4,李山甫
第四十六出,4,刘长卿
第四十七出,4,窦巩
第四十八出,4,许浑
第四十九出,4,韦洵美
第五十出,4,李绅
第五十一出,4,元稹
第五十二出,4,杜甫
第五十三出,4,殷文圭
第五十五出,4,白居易
