章节,第2次,诗人
第一出,2,王实辅
第二出,2,王昌龄
第三出,2,王建
第四出,2,曹唐
第五出,2,杜甫
第六出,2,李商隐
第七出,2,张泌
第八出,2,张继
第九出,2,陈陶
第十出,2,罗隐
第十一出,2,郑谷
第十二出,2,韦庄
第十三出,2,陆龟蒙
第十四出,2,韦庄
第十五出,2,司空图
第十六出,2,刘长卿
第十九出,2,王维
第二十出,2,曹唐
第二十一出,2,刘长卿
第二十二出,2,王维
第二十三出,2,李商隐
第二十五出,2,杜甫
第二十六出,2,伍乔
第二十七出,2,天竺牧童
第二十八出,2,李商隐
第二十九出,2,僧子兰
第三十出,2,罗隐
第三十一出,2,谭用之
第三十二出,2,韦氏子
第三十三出,2,陈羽
第三十四出,2,韩偓
第三十五出,2,景舜英
第三十六出,2,陆龟蒙
第三十七出,2,白居易
第三十八出,2,司空图
第三十九出,2,杜甫
第四十出,2,柳宗元
第四十一出,2,杜甫
第四十二出,2,韩偓
第四十三出,2,陈陶
第四十四出,2,杜甫
第四十五出,2,常建
第四十六出,2,卢纶
第四十七出,2,常建
第四十八出,2,薛逢
第四十九出,2,王遵
第五十出,2,韩偓
第五十一出,2,王建
第五十二出,2,张曙
第五十三出,2,司空图
第五十五出,2,李商隐
