出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第三十五出,莺啼序,是,7,"[11, 7, 2, 5, 6, 1, 6, 7, 7, 6, 8, 1, 8, 7, 9, 3, 5, 4]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[0, 7, 2, 0, 6, 1, 6, 0, 0, 6, 8, 1, 0, 0, 9, 0, 0, 0]","[6, 0, 0, 5, 0, 0, 0, 7, 7, 0, 0, 0, 8, 7, 0, 3, 2, 4]","[6, 8]",[],"[2, 4, 4, 5]"
第三十五出,尾声,否,8,"[9, 9, 5, 3, 6, 8]","[3, 2, 0, 0, 0, 1]","[0, 0, 5, 3, 6, 0]","[6, 7, 0, 0, 0, 7]","[2, 4, 4, 5]",[]
第三十六出,意难忘,否,1,"[4, 5, 4, 6, 5, 2, 4, 3, 8, 3, 5, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]","[0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]","[4, 5, 4, 5, 5, 0, 3, 3, 5, 3, 4, 4]",[],[]
第三十六出,画堂春,否,2,"[7, 6, 7, 4, 6, 6, 7, 4, 2, 6, 5, 4, 11, 6, 4, 4, 6, 2, 6, 5, 2, 4, 8, 3, 6, 6, 4, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 6, 7, 4, 6, 6, 7, 4, 2, 6, 5, 4, 11, 6, 4, 4, 6, 2, 6, 5, 2, 4, 8, 3, 6, 6, 4, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 6, 7, 4, 6, 6, 7, 4, 2, 6, 5, 4, 11, 6, 4, 4, 6, 2, 6, 5, 2, 4, 8, 3, 6, 6, 4, 12]"
第三十六出,胜如花,否,3,"[3, 3, 5, 7, 8, 3, 4, 8, 8, 5, 9, 4, 6, 7, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 0, 0, 0, 0]","[3, 3, 5, 7, 8, 3, 4, 7, 7, 0, 0, 4, 4, 7, 7, 7]",[],[],[4]
第三十六出,生查子,否,4,"[5, 7, 8, 6]","[0, 1, 3, 0]","[0, 0, 0, 0]","[5, 6, 5, 6]",[4],[],"[3, 2, 9, 7, 7, 7, 7, 5, 8, 6, 4, 9, 7, 9, 2, 4, 4, 4, 4, 4, 4]"
第三十六出,胜如花,否,5,"[3, 3, 3, 7, 7, 8, 3, 5, 5, 3, 4, 6, 9, 4, 7, 4, 4, 10, 2, 4, 6, 8, 8, 8]","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 2, 1, 1, 1]","[0, 0, 3, 0, 0, 0, 3, 5, 5, 3, 4, 6, 0, 4, 0, 4, 4, 0, 2, 0, 0, 0, 0, 0]","[3, 3, 0, 4, 7, 8, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 0, 7, 0, 4, 4, 7, 7, 7]","[3, 2, 9, 7, 7, 7, 7, 5, 8, 6, 4, 9, 7, 9, 2, 4, 4, 4, 4, 4, 4]",[]
第三十六出,不是路,否,6,"[4, 7, 3, 8, 5, 2, 2, 4, 3, 8, 7, 2, 3, 3, 8, 4, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 5, 2, 2, 4, 0, 0, 0, 2, 3, 0, 0, 0, 0]","[4, 7, 3, 7, 0, 0, 0, 0, 3, 7, 7, 0, 0, 3, 8, 4, 4]",[],[]
第三十六出,不是路,是,7,"[4, 8, 7, 10, 5, 2, 3, 9, 8, 4, 2, 8, 9, 6, 7, 9, 4, 3, 7, 7, 3, 10, 4, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 7, 10, 5, 2, 0, 0, 8, 4, 2, 8, 9, 6, 7, 9, 4, 0, 0, 0, 0, 0, 0, 0]","[4, 7, 0, 0, 0, 0, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 7, 3, 7, 4, 4]",[],[],"[7, 5, 2, 2, 11, 4, 9, 9, 9, 9, 4, 3, 4, 2, 10, 6, 7, 4, 4, 4, 4, 4, 7]"
第三十六出,榴花泣,否,8,"[4, 5, 3, 3, 8, 7, 4, 8, 4, 7, 8]","[0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[4, 3, 3, 3, 7, 7, 4, 8, 0, 7, 8]","[7, 5, 2, 2, 11, 4, 9, 9, 9, 9, 4, 3, 4, 2, 10, 6, 7, 4, 4, 4, 4, 4, 7]",[],[4]
第三十六出,榴花泣,是,9,"[4, 5, 3, 4, 9, 8, 4, 9, 2, 8, 6, 6, 3, 7, 7, 7]","[0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 6, 6, 3, 7, 0, 0]","[4, 5, 3, 4, 7, 7, 4, 8, 0, 0, 0, 0, 0, 0, 7, 7]",[4],[],"[8, 8, 7, 8, 10, 8, 8, 10, 1, 1, 1, 3, 1, 1, 1, 4, 7, 2, 2, 4, 6, 6, 6, 5, 4, 4, 2, 7, 8, 6, 2, 7, 2, 4, 6, 4, 7, 7]"
第三十六出,急板令,否,10,"[7, 8, 6, 5, 4, 5, 4, 4, 4, 5, 2, 3, 3]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 8, 0, 4, 4, 4, 4, 4, 4, 5, 2, 3, 3]","[8, 8, 7, 8, 10, 8, 8, 10, 1, 1, 1, 3, 1, 1, 1, 4, 7, 2, 2, 4, 6, 6, 6, 5, 4, 4, 2, 7, 8, 6, 2, 7, 2, 4, 6, 4, 7, 7]",[]
第三十六出,急板令,是,11,"[7, 7, 7, 5, 4, 4, 4, 5, 4]","[0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 7, 0, 0, 0, 0, 0, 0]","[7, 7, 0, 4, 4, 4, 4, 4, 4]",[],[],"[3, 3, 5, 4, 4, 4]"
第三十六出,一撮掉,否,12,"[3, 7, 2, 10, 6, 3, 3, 5, 3, 3, 6, 3, 3, 6, 5, 6]","[0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 2, 10, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 5, 0, 0, 5, 3, 0, 3, 3, 3, 6, 3, 3, 6, 5, 5]","[3, 3, 5, 4, 4, 4]",[]
第三十六出,尾声,否,13,"[8, 10, 3, 10]","[1, 1, 0, 3]","[0, 0, 3, 0]","[7, 9, 0, 7]",[],[]
第三十七出,集唐,否,1,"[7, 2, 7, 3, 7, 2, 7, 2, 4, 7, 8, 11, 5, 7, 7, 4, 1, 8, 6, 5, 1, 8, 1, 9, 8, 4, 7, 3, 3, 5, 1, 5, 4, 3, 3, 3, 3, 6, 2, 6, 2, 2, 2, 6, 2, 2, 7, 10, 11, 4, 3, 3, 2, 2, 8]","[0, 2, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 7, 0, 7, 0, 7, 0, 4, 7, 8, 11, 5, 7, 7, 4, 1, 8, 6, 5, 1, 8, 1, 9, 8, 4, 7, 3, 3, 5, 1, 5, 4, 3, 3, 3, 3, 6, 2, 6, 2, 2, 2, 6, 2, 2, 7, 10, 11, 4, 3, 3, 2, 2, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 2, 7, 3, 7, 2, 7, 2, 4, 7, 8, 11, 5, 7, 7, 4, 1, 8, 6, 5, 1, 8, 1, 9, 8, 4, 7, 3, 3, 5, 1, 5, 4, 3, 3, 3, 3, 6, 2, 6, 2, 2, 2, 6, 2, 2, 7, 10, 11, 4, 3, 3, 2, 2, 8]"
第三十七出,懒画眉,否,2,"[7, 10, 7, 1, 6, 7, 7, 9]","[0, 0, 0, 0, 0, 0, 2, 2]","[0, 0, 0, 1, 6, 7, 0, 0]","[7, 10, 7, 0, 0, 0, 5, 7]",[],[],"[4, 7, 4, 2, 7]"
第三十七出,朝天子,否,3,"[2, 2, 10, 11, 2, 6, 5, 10, 3, 4, 3, 5]","[0, 0, 3, 4, 0, 0, 0, 3, 0, 1, 0, 0]","[2, 2, 0, 0, 2, 6, 5, 0, 0, 0, 0, 0]","[0, 0, 7, 7, 0, 0, 0, 7, 3, 3, 3, 5]","[4, 7, 4, 2, 7]",[],"[3, 6, 4, 7, 6, 4, 4, 10, 4, 4, 7, 3, 2, 10, 9, 2, 8, 10, 2, 10, 4]"
第三十七出,普天乐,否,4,"[14, 10, 7, 7, 7, 5, 6, 9, 9, 7, 7, 4]","[7, 3, 0, 1, 0, 5, 6, 6, 5, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 6, 7, 0, 0, 3, 4, 7, 4, 4]","[3, 6, 4, 7, 6, 4, 4, 10, 4, 4, 7, 3, 2, 10, 9, 2, 8, 10, 2, 10, 4]",[],"[3, 5, 6, 8, 12, 5, 7]"
第三十七出,尾声,否,5,"[3, 9, 3, 10, 3, 15]","[0, 2, 0, 3, 0, 8]","[3, 0, 3, 0, 3, 0]","[0, 7, 0, 7, 0, 7]","[3, 5, 6, 8, 12, 5, 7]",[]
第三十八出,霜天晓角,否,1,"[4, 5, 7, 7]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4, 5, 7, 7]",[],[],"[7, 7, 7, 7, 9, 6, 9, 4, 6, 8, 4, 5, 6, 5, 3, 6, 2, 6, 4, 8, 6]"
