出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第四十出,金钱花,否,2,"[6, 2, 7, 2, 3, 3, 3, 3, 3, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 2, 6, 2, 3, 3, 3, 3, 3, 3]","[5, 5, 5, 5, 14, 6, 5, 11, 6, 10, 7, 6, 4, 4, 6, 10, 6, 4, 12, 6, 6, 11, 4, 5, 5]",[],"[5, 5, 7, 5, 4, 13, 4, 8, 5, 4, 2, 6, 7, 7, 5, 7, 5, 5, 5, 8, 2, 2, 4, 15, 4, 2, 9, 5, 4, 2, 5, 2, 11, 9, 4, 4, 6, 15, 3, 3, 4, 6, 4, 7, 5, 8, 6, 3, 4, 10, 5, 5, 1, 4, 5, 6, 5, 2, 7, 7, 7, 8, 5, 6, 4, 3, 2, 6, 2, 7, 1, 7, 2, 3, 4, 2, 7, 4, 6, 1, 7, 7, 4, 2, 4, 5, 4, 6, 7, 4]"
第四十出,尾犯序,否,3,"[5, 5, 4, 2, 4, 5, 4, 2, 6, 3, 8, 3, 6, 7, 5, 7, 3, 4, 6]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 2, 4, 0, 0, 2, 6, 0, 0, 0, 0, 7, 5, 7, 0, 0, 0]","[5, 4, 4, 0, 0, 4, 4, 0, 0, 2, 7, 3, 4, 0, 0, 0, 3, 4, 3]","[5, 5, 7, 5, 4, 13, 4, 8, 5, 4, 2, 6, 7, 7, 5, 7, 5, 5, 5, 8, 2, 2, 4, 15, 4, 2, 9, 5, 4, 2, 5, 2, 11, 9, 4, 4, 6, 15, 3, 3, 4, 6, 4, 7, 5, 8, 6, 3, 4, 10, 5, 5, 1, 4, 5, 6, 5, 2, 7, 7, 7, 8, 5, 6, 4, 3, 2, 6, 2, 7, 1, 7, 2, 3, 4, 2, 7, 4, 6, 1, 7, 7, 4, 2, 4, 5, 4, 6, 7, 4]",[],"[9, 2, 6, 1, 1, 4, 3, 5]"
第四十出,尾犯序,是,4,"[6, 14, 7, 5, 2, 9, 6, 4, 4, 3, 7, 4, 4, 4, 8, 4, 5, 7, 4, 4, 4, 9, 7, 7, 6, 3, 6, 4, 3, 3, 6, 7, 2, 5, 10, 4, 10, 12, 2, 3, 4, 6]","[1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 3]","[0, 14, 0, 0, 2, 9, 6, 4, 4, 3, 0, 0, 4, 4, 8, 4, 5, 7, 4, 4, 4, 9, 7, 7, 6, 3, 6, 4, 3, 3, 6, 7, 2, 5, 10, 4, 0, 0, 2, 0, 0, 0]","[5, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 3, 4, 3]","[9, 2, 6, 1, 1, 4, 3, 5]",[],"[4, 4]"
第四十出,尾声,否,5,"[8, 2, 9, 2, 6, 13]","[2, 0, 2, 0, 0, 6]","[0, 2, 0, 2, 6, 0]","[6, 0, 7, 0, 0, 7]","[4, 4]",[]
第四十一出,凤凰阁,否,1,"[5, 6, 7, 6, 4, 7]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[5, 6, 7, 6, 4, 7]",[],[]
第四十一出,集唐,否,2,"[7, 3, 7, 3, 7, 2, 7, 2, 7, 12, 6, 5, 4, 8, 8, 7, 6, 4, 4, 4, 5, 9, 6, 4, 4, 7, 8, 2, 9, 6, 7, 4, 3, 2, 7, 3, 7, 6, 1, 4, 3, 1, 3, 3, 2, 6, 4, 5, 5, 7, 6, 5, 5, 4, 7, 6, 4, 11, 4, 6, 9, 5, 5, 4, 4]","[0, 3, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 7, 0, 7, 0, 7, 0, 7, 12, 6, 5, 4, 8, 8, 7, 6, 4, 4, 4, 5, 9, 6, 4, 4, 7, 8, 2, 9, 6, 7, 4, 3, 2, 7, 3, 7, 6, 1, 4, 3, 1, 3, 3, 2, 6, 4, 5, 5, 7, 6, 5, 5, 4, 7, 6, 4, 11, 4, 6, 9, 5, 5, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 3, 7, 3, 7, 2, 7, 2, 7, 12, 6, 5, 4, 8, 8, 7, 6, 4, 4, 4, 5, 9, 6, 4, 4, 7, 8, 2, 9, 6, 7, 4, 3, 2, 7, 3, 7, 6, 1, 4, 3, 1, 3, 3, 2, 6, 4, 5, 5, 7, 6, 5, 5, 4, 7, 6, 4, 11, 4, 6, 9, 5, 5, 4, 4]"
第四十一出,一封书,否,3,"[5, 6, 5, 6, 10, 10, 5, 9, 7]","[0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 6, 5, 6, 10, 10, 5, 7, 7]",[],[]
第四十一出,神仗儿,否,4,"[4, 4, 4, 6, 4, 1, 4, 6, 3, 4, 5, 7, 9, 2, 4, 4, 5, 3, 8, 6, 4, 4, 2, 5, 2, 9, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 6, 4, 1, 4, 6, 3, 4, 0, 0, 9, 2, 4, 0, 0, 3, 8, 6, 4, 4, 2, 5, 2, 9, 0, 0]","[4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6]",[],[],"[3, 5, 3, 4, 6, 2, 4, 5, 4, 12, 4, 6, 7, 7, 4, 4, 4, 2, 4, 4, 4, 2, 0, 4, 6, 7, 4, 0, 3, 4, 4, 4, 4, 8, 1, 4, 4, 2, 2, 5, 7, 6, 6, 4, 6, 6, 2, 2, 4, 4, 3, 3, 6, 2, 2, 7]"
第四十一出,马蹄花,否,5,"[3, 4, 7, 5, 4, 4, 10, 8, 5, 7, 4, 7]","[0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0]","[0, 4, 7, 4, 4, 4, 7, 7, 0, 7, 0, 7]","[3, 5, 3, 4, 6, 2, 4, 5, 4, 12, 4, 6, 7, 7, 4, 4, 4, 2, 4, 4, 4, 2, 0, 4, 6, 7, 4, 0, 3, 4, 4, 4, 4, 8, 1, 4, 4, 2, 2, 5, 7, 6, 6, 4, 6, 6, 2, 2, 4, 4, 3, 3, 6, 2, 2, 7]",[],[6]
第四十一出,马蹄花,是,6,"[4, 8, 6, 6, 4, 4, 3, 8, 8, 6, 3, 9, 7]","[0, 1, 0, 2, 0, 0, 3, 0, 0, 0, 0, 2, 0]","[0, 0, 6, 0, 0, 0, 0, 1, 1, 6, 3, 0, 0]","[4, 7, 0, 4, 4, 4, 0, 7, 7, 0, 0, 7, 7]",[6],[],"[2, 5, 9, 4, 4, 7, 7, 6, 7, 7, 7, 1, 4, 9, 4, 2, 2, 7, 7, 8, 2, 7, 2, 4, 6, 2, 16, 4]"
第四十一出,滴溜子,否,7,"[3, 7, 4, 3, 7, 6, 7, 6, 9, 6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1]","[0, 0, 4, 0, 0, 6, 0, 6, 9, 0, 0]","[3, 7, 0, 3, 7, 0, 7, 0, 0, 4, 4]","[2, 5, 9, 4, 4, 7, 7, 6, 7, 7, 7, 1, 4, 9, 4, 2, 2, 7, 7, 8, 2, 7, 2, 4, 6, 2, 16, 4]",[],[11]
第四十一出,滴溜子,是,8,"[3, 7, 3, 7, 7, 6, 6]","[0, 0, 0, 0, 1, 2, 2]","[0, 0, 0, 0, 0, 0, 0]","[3, 7, 3, 7, 6, 4, 4]",[11],[],"[8, 3, 8, 6, 4, 9, 3, 9, 6, 7, 2, 5, 4, 4, 5, 10, 4, 5, 5, 4, 5, 2]"
第四十二出,夜游朝,否,1,"[7, 7, 4, 4, 6]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7, 7, 4, 4, 6]",[],[]
第四十二出,诉衷情,否,2,"[7, 5, 6, 5, 3, 3, 3, 6, 6, 9, 6, 6, 6, 8, 6, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 5, 6, 5, 3, 3, 3, 6, 6, 9, 6, 6, 6, 8, 6, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 5, 6, 5, 3, 3, 3, 6, 6, 9, 6, 6, 6, 8, 6, 7, 7]"
第四十二出,似娘儿,否,3,"[5, 7, 7, 5, 4, 4]","[0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]","[5, 7, 7, 4, 4, 4]",[],[]
第四十二出,玉楼春,否,4,"[2, 7, 7, 7, 7, 8, 7, 7, 7, 2, 5, 4, 7, 7, 7, 9, 5, 4, 3, 5, 2, 8, 6, 4, 7, 7, 7, 3, 3, 5, 6, 3, 9, 4, 4, 2, 1, 4, 4, 2, 7, 5, 5, 5, 3, 4, 2, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 7, 7, 7, 7, 8, 7, 7, 7, 2, 5, 4, 7, 7, 7, 9, 5, 4, 3, 5, 2, 8, 6, 4, 7, 7, 7, 3, 3, 5, 6, 3, 9, 4, 4, 2, 1, 4, 4, 2, 7, 5, 5, 5, 3, 4, 2, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[2, 7, 7, 7, 7, 8, 7, 7, 7, 2, 5, 4, 7, 7, 7, 9, 5, 4, 3, 5, 2, 8, 6, 4, 7, 7, 7, 3, 3, 5, 6, 3, 9, 4, 4, 2, 1, 4, 4, 2, 7, 5, 5, 5, 3, 4, 2, 7]"
第四十二出,长拍,否,5,"[4, 4, 4, 7, 5, 3, 4, 6, 6, 4, 7, 3, 7, 8, 4, 4]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]","[4, 4, 4, 7, 4, 3, 4, 5, 5, 4, 7, 0, 7, 5, 4, 4]",[],[],"[1, 8]"
第四十二出,不是路,否,6,"[4, 7, 3, 4, 7, 6, 3, 7, 8, 5, 3, 2, 7, 5, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 4, 2, 0, 0, 0, 1, 0]","[0, 0, 3, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[4, 7, 0, 3, 7, 0, 3, 7, 4, 3, 3, 0, 7, 4, 4]","[1, 8]",[],"[1, 7]"
第四十二出,不是路,是,7,"[4, 9, 4, 3, 5, 8, 3, 8, 9, 3, 8, 7, 4]","[0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 4, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0]","[4, 7, 0, 3, 0, 7, 3, 7, 7, 3, 7, 4, 4]","[1, 7]",[],"[2, 5, 6, 5]"
第四十二出,短拍,否,8,"[4, 4, 5, 7, 5, 7, 7, 7, 3, 6]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 4, 7, 5, 7, 7, 6, 3, 5]","[2, 5, 6, 5]",[]
第四十二出,尾声,否,9,"[9, 9, 3, 11]","[1, 2, 0, 5]","[0, 0, 3, 0]","[8, 7, 0, 6]",[],[],"[2, 7, 2, 8]"
第四十三出,六幺令,否,1,"[4, 7, 8, 3, 3, 8]","[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0]","[4, 7, 7, 3, 3, 7]",[],[]
第四十三出,昭君怨,否,2,"[6, 6, 5, 3, 6, 6, 3, 5, 3, 3, 3, 6, 4, 10, 10, 6, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 5, 3, 6, 6, 3, 5, 3, 3, 3, 6, 4, 10, 10, 6, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[6, 6, 5, 3, 6, 6, 3, 5, 3, 3, 3, 6, 4, 10, 10, 6, 4, 4]"
第四十三出,四边静,否,3,"[8, 5, 5, 5, 4, 4, 5, 5]","[1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 5, 5, 5, 4, 4, 5, 5]",[],[],"[6, 4]"
第四十三出,四边静,是,4,"[8, 5, 5, 7]","[1, 0, 0, 1]","[0, 0, 0, 0]","[7, 5, 5, 6]","[6, 4]",[],"[8, 4, 9, 4, 1, 4, 7, 4, 4, 1, 9, 3, 4, 5]"
第四十三出,番卜算,否,5,"[5, 5, 7, 5]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5, 5, 7, 5]","[8, 4, 9, 4, 1, 4, 7, 4, 4, 1, 9, 3, 4, 5]",[]
第四十三出,更漏子,否,6,"[3, 3, 6, 3, 3, 5, 3, 3, 6, 3, 3, 5, 10, 4, 4, 6, 10, 4, 8, 4, 5, 4, 4, 2, 4, 4, 5, 3, 10, 6, 3, 3, 4, 6, 4, 6, 3, 3, 1, 1, 1, 6, 4, 5, 7, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 6, 3, 3, 5, 3, 3, 6, 3, 3, 5, 10, 4, 4, 6, 10, 4, 8, 4, 5, 4, 4, 2, 4, 4, 5, 3, 10, 6, 3, 3, 4, 6, 4, 6, 3, 3, 1, 1, 1, 6, 4, 5, 7, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[3, 3, 6, 3, 3, 5, 3, 3, 6, 3, 3, 5, 10, 4, 4, 6, 10, 4, 8, 4, 5, 4, 4, 2, 4, 4, 5, 3, 10, 6, 3, 3, 4, 6, 4, 6, 3, 3, 1, 1, 1, 6, 4, 5, 7, 5, 5]"
第四十三出,金钱花,否,7,"[6, 2, 6, 2, 3, 3, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 2, 6, 2, 3, 3, 3, 3, 3, 3]",[],[],"[4, 5, 2, 4]"
第四十三出,金钱花,是,8,"[6, 2, 6, 2, 3, 3, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 2, 6, 2, 3, 3, 3, 3, 3, 3]","[4, 5, 2, 4]",[],[5]
第四十三出,粉蝶儿引,否,9,"[5, 6]","[0, 0]","[0, 0]","[5, 6]",[5],[],"[5, 4, 6, 4, 6, 4, 4, 4, 4, 7, 5, 8, 4, 4, 5, 3, 6, 8, 6, 4, 3, 3, 6, 4, 7, 5, 5, 4, 4, 4, 4, 4, 1, 1, 6, 6]"
第四十三出,刬锹儿,否,10,"[7, 10, 5, 5, 5, 5, 4, 5]","[0, 3, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 5, 4, 4, 4, 4, 4]","[5, 4, 6, 4, 6, 4, 4, 4, 4, 7, 5, 8, 4, 4, 5, 3, 6, 8, 6, 4, 3, 3, 6, 4, 7, 5, 5, 4, 4, 4, 4, 4, 1, 1, 6, 6]",[]
第四十三出,刬锹儿,是,11,"[7, 7, 5, 4]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7, 7, 5, 4]",[],[],"[4, 4, 4, 4, 8, 3]"
第四十三出,尾声,否,12,"[9, 9, 3, 12]","[2, 2, 0, 5]","[0, 0, 3, 0]","[7, 7, 0, 7]","[4, 4, 4, 4, 8, 3]",[]
第四十四出,菊花新,否,1,"[8, 7, 5, 8]","[0, 0, 0, 0]","[0, 0, 0, 0]","[8, 7, 5, 8]",[],[],"[5, 5, 5, 5, 10, 6, 8, 2, 7, 7]"
第四十四出,出队子,否,2,"[4, 7, 8, 10, 4, 4]","[0, 0, 1, 3, 0, 0]","[0, 0, 0, 0, 0, 0]","[4, 7, 7, 7, 4, 4]","[5, 5, 5, 5, 10, 6, 8, 2, 7, 7]",[],"[2, 4, 6, 6, 4]"
第四十四出,瓦盆儿,否,3,"[4, 7, 1, 5, 6, 4, 11, 2, 3, 9, 2, 4, 3, 5, 6, 6, 5, 10, 6, 3, 4, 10, 2, 2, 6, 6, 3, 3, 10]","[0, 2, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 1, 5, 0, 4, 0, 2, 3, 0, 0, 4, 3, 5, 6, 4, 0, 0, 0, 0, 4, 10, 2, 2, 6, 0, 0, 0, 0]","[4, 5, 0, 0, 6, 0, 7, 0, 0, 4, 2, 0, 0, 0, 0, 2, 5, 7, 6, 3, 0, 0, 0, 0, 0, 6, 3, 3, 7]","[2, 4, 6, 6, 4]",[],"[2, 4, 4, 4, 2, 6, 11, 4, 4, 6, 2, 6, 7]"
第四十四出,榴花泣,否,4,"[4, 6, 3, 3, 8, 4, 5, 4, 3, 10, 7, 9]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]","[4, 5, 3, 3, 7, 4, 5, 4, 0, 7, 7, 7]","[2, 4, 4, 4, 2, 6, 11, 4, 4, 6, 2, 6, 7]",[]
第四十四出,榴花泣,是,5,"[5, 5, 7, 5, 9, 5, 6, 4, 5, 8, 4, 8, 8]","[0, 0, 1, 0, 2, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 4, 0, 0]","[5, 5, 6, 0, 7, 4, 5, 0, 4, 7, 0, 7, 7]",[],[],"[2, 8, 10]"
第四十四出,渔家灯,否,6,"[7, 7, 2, 8, 7, 9, 2, 4, 5, 8, 7, 9, 2, 5, 7]","[0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 1, 0]","[0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 9, 0, 0, 0]","[7, 7, 0, 0, 7, 7, 0, 0, 2, 8, 7, 0, 2, 4, 7]","[2, 8, 10]",[]
第四十四出,渔家灯,是,7,"[9, 9, 10, 7, 7, 5, 4, 2, 7, 7, 1, 6, 7, 2, 5, 7]","[2, 5, 3, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 7, 5, 4, 0, 0, 0, 1, 6, 7, 0, 0, 0]","[7, 4, 7, 4, 0, 0, 0, 2, 5, 7, 0, 0, 0, 2, 4, 7]",[],[],"[5, 5, 6]"
第四十四出,尾声,否,8,"[9, 8, 2, 7, 11]","[1, 0, 0, 0, 4]","[0, 0, 2, 7, 0]","[8, 8, 0, 0, 7]","[5, 5, 6]",[]
第四十五出,包子令,否,1,"[7, 2, 7, 2, 8, 7, 3, 7]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 2, 7, 2, 8, 7, 3, 7]",[],[],"[2, 7, 9, 8, 5]"
第四十五出,驻马听,否,2,"[4, 7, 5, 4, 4, 4, 7, 8, 7, 6, 7, 6, 8, 8, 6, 7]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0]","[0, 0, 0, 0, 0, 4, 7, 8, 7, 6, 7, 6, 0, 0, 0, 0]","[4, 7, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 7, 7, 4, 7]","[2, 7, 9, 8, 5]",[],"[5, 5, 5, 2, 2, 6, 1, 3, 2, 6, 6]"
第四十五出,普贤歌,否,3,"[8, 7, 5, 5, 8]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7, 7, 5, 5, 8]","[5, 5, 5, 2, 2, 6, 1, 3, 2, 6, 6]",[],"[2, 9, 4, 9, 9, 8, 9, 4, 4]"
第四十五出,粉蝶儿,否,4,"[5, 1, 2, 7]","[0, 0, 0, 1]","[0, 1, 2, 0]","[5, 0, 0, 6]","[2, 9, 4, 9, 9, 8, 9, 4, 4]",[],"[3, 9, 4, 4, 4, 2]"
第四十五出,大迓鼓,否,5,"[5, 4, 4, 2, 5, 8, 8, 4, 6, 5, 6, 4, 4, 4]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 5, 0, 8, 4, 6, 5, 0, 4, 0, 0]","[5, 4, 4, 0, 0, 7, 0, 0, 0, 0, 6, 0, 4, 4]","[3, 9, 4, 4, 4, 2]",[],"[10, 4, 4, 3, 7, 2, 6, 8, 9, 6, 4, 6, 4, 7, 4, 4, 7, 2, 2, 3, 9, 15, 16, 3, 2, 6, 2, 2, 5, 4, 6, 8, 2, 4, 3, 4, 6, 2, 6, 8, 4, 2, 10, 5, 15, 8, 6, 7, 1, 1, 1, 6, 7, 7, 5, 4, 4, 7, 2, 10, 1, 6, 6, 5, 3, 2, 3, 10, 2, 10, 4, 6, 4]"
第四十五出,尾声,否,6,"[3, 6, 8, 10, 8, 3]","[0, 3, 0, 3, 4, 0]","[0, 0, 8, 0, 0, 0]","[3, 3, 0, 7, 4, 3]","[10, 4, 4, 3, 7, 2, 6, 8, 9, 6, 4, 6, 4, 7, 4, 4, 7, 2, 2, 3, 9, 15, 16, 3, 2, 6, 2, 2, 5, 4, 6, 8, 2, 4, 3, 4, 6, 2, 6, 8, 4, 2, 10, 5, 15, 8, 6, 7, 1, 1, 1, 6, 7, 7, 5, 4, 4, 7, 2, 10, 1, 6, 6, 5, 3, 2, 3, 10, 2, 10, 4, 6, 4]",[],"[3, 3, 6, 2, 6]"
第四十六出,破阵子,否,1,"[6, 6, 10, 8, 2, 2, 6, 3]","[0, 0, 3, 1, 2, 2, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 7, 7, 0, 0, 2, 3]",[],[]
第四十六出,集唐,否,2,"[7, 3, 7, 2, 7, 2, 7, 2, 7, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4]","[0, 3, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 7, 0, 7, 0, 7, 0, 7, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 3, 7, 2, 7, 2, 7, 2, 7, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4]"
第四十六出,玉桂枝,否,3,"[4, 7, 7, 10, 5, 5, 4, 4, 4, 3, 3, 6, 3, 9, 4, 4, 4, 7, 6]","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9, 4, 4, 4, 0, 0]","[4, 7, 7, 7, 5, 5, 4, 4, 0, 3, 3, 3, 3, 0, 0, 0, 0, 4, 5]",[],[],"[7, 7, 2, 7, 8, 4, 3, 6, 4, 10, 9, 2, 2]"
第四十六出,浣溪沙,否,4,"[3, 3, 10, 6, 8, 7, 5, 7, 7, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 6, 0, 7, 0, 7, 0, 0]","[3, 3, 10, 0, 7, 0, 5, 0, 7, 6]","[7, 7, 2, 7, 8, 4, 3, 6, 4, 10, 9, 2, 2]",[]
第四十六出,集唐,否,5,"[7, 2, 7, 3, 7, 2, 7, 2, 4, 9, 6, 3, 6, 9, 6, 2, 4]","[0, 2, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 7, 0, 7, 0, 7, 0, 4, 9, 6, 3, 6, 9, 6, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 2, 7, 3, 7, 2, 7, 2, 4, 9, 6, 3, 6, 9, 6, 2, 4]"
第四十六出,玉桂枝,否,6,"[4, 7, 7, 9, 5, 5, 4, 4, 5, 5, 12, 4, 1, 4, 7, 4, 4, 8, 4, 3, 4, 3, 3, 3, 7, 4, 7, 1, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 12, 4, 1, 4, 7, 4, 4, 8, 4, 0, 0, 0, 0, 3, 7, 4, 7, 1, 0, 0]","[4, 7, 7, 9, 5, 5, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 5, 6]",[],[],"[4, 6, 10, 2, 9, 5, 8, 2, 6, 6, 5, 4, 7, 4, 2, 4, 4, 10, 3, 5, 15, 4, 6, 7, 8, 4, 4, 2, 5, 5, 5, 5, 4, 9, 8, 5, 4, 4, 6, 4, 3, 8, 9, 4, 4, 2, 5, 7, 6, 7, 5, 5, 4, 4, 4, 4, 2]"
