序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
26,邯郸记,第四出,节节高,是,41,银,笑吹银蜡,美人带笑吹银蜡,正文
0,邯郸记,第四出,尾声,否,42
27,邯郸记,第五出,霜天晓角,否,43,青,冷落青门庶,冷落青门庶,正文
28,邯郸记,第五出,集唐,否,44,兰,小生兰陵萧,小生兰陵萧嵩,正文
28,邯郸记,第五出,集唐,否,44,金,乃金牙大,乃金牙大总管封闻喜县公裴行俭之晚子,正文
29,邯郸记,第五出,霜天晓角,是,45,黄,幸逢黄榜招,幸逢黄榜招贤,正文
29,邯郸记,第五出,霜天晓角,是,45,黄,这纸黄榜袖,将这纸黄榜袖下了,正文
29,邯郸记,第五出,霜天晓角,是,45,黄,是黄纸,是黄纸,正文
29,邯郸记,第五出,霜天晓角,是,45,黄,听的黄榜招,听的黄榜招贤,正文
0,邯郸记,第五出,皂罗袍,否,46
30,邯郸记,第五出,皂罗袍,是,47,红,状元红去,店中饮一杯状元红去,正文
30,邯郸记,第五出,皂罗袍,是,47,金,便 金阶对,便 金阶对策也好 商量做,正文
31,邯郸记,第五出,尾声,否,48,红,状元红 吸,状元红 吸不 尽两单壶,正文
0,邯郸记,第六出,绕地游,否,49
32,邯郸记,第六出,丑奴儿,否,50,红,红围粉,红围粉簇清幽路,正文
32,邯郸记,第六出,丑奴儿,否,50,粉,红围粉簇清,红围粉簇清幽路,正文
32,邯郸记,第六出,丑奴儿,否,50,翠,香觅翠芙蓉,探香觅翠芙蓉架,正文
32,邯郸记,第六出,丑奴儿,否,50,白,辈无白衣女,思想起我家七辈无白衣女壻,正文
33,邯郸记,第六出,卜操作数,否,51,红,一面红妆恼,一面红妆恼煞人,正文
33,邯郸记,第六出,卜操作数,否,51,白,辈无白衣女,但我家七辈无白衣女壻,正文
34,邯郸记,第六出,朱奴儿,否,52,朱,朱奴儿,朱奴儿,曲牌
34,邯郸记,第六出,朱奴儿,否,52,白, 头白功名,没气力 头白功名纸半张,正文
34,邯郸记,第六出,朱奴儿,否,52,白,平白地为,平白地为卿相,正文
35,邯郸记,第六出,朱奴儿,是,53,白,家数白论黄,非奴家数白论黄,正文
35,邯郸记,第六出,朱奴儿,是,53,黄,白论黄 ,非奴家数白论黄,正文
35,邯郸记,第六出,朱奴儿,是,53,紫, 紫阁金,紫阁金门路渺茫,正文
35,邯郸记,第六出,朱奴儿,是,53,金,紫阁金门路,紫阁金门路渺茫,正文
