章节,第3次,诗人
第一出,3,王实辅
第二出,3,曹松
第三出,3,苗发
第四出,3,朱庆余
第五出,3,柳宗元
第六出,3,皮日休
第七出,3,赵嘏
第八出,3,羊士谔
第九出,3,韦应物
第十出,3,许浑
第十一出,3,段成武
第十四出,3,罗虬
第十五出,3,张祜
第十六出,3,张籍
第二十出,3,李白
第二十一出,3,张南史
第二十二出,3,白居易
第二十三出,3,罗邺
第二十五出,3,温庭筠
第二十六出,3,司空图
第二十七出,3,罗邺
第二十八出,3,李白
第三十出,3,顾况
第三十一出,3,钱起
第三十二出,3,刘言史
第三十三出,3,雍陶
第三十四出,3,韩愈
第三十五出,3,张祜
第三十六出,3,张蠙
第三十七出,3,韩愈
第三十八出,3,张建封
第三十九出,3,杜审言
第四十出,3,于鹄
第四十一出,3,钱起
第四十二出,3,薛涛
第四十三出,3,曹唐
第四十四出,3,章孝标
第四十五出,3,刘禹锡
第四十六出,3,王建
第四十七出,3,杜牧
第四十八出,3,白居易
第四十九出,3,刘长卿
第五十出,3,耿湋
第五十一出,3,韩愈
第五十二出,3,韦庄
第五十三出,3,白居易
第五十五出,3,郑琼罗
