序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
34,牡丹亭,第十出,醉扶归,否,60,金,画廊金粉半,你看：“画廊金粉半零星,正文
34,牡丹亭,第十出,醉扶归,否,60,粉,廊金粉半零,你看：“画廊金粉半零星,正文
34,牡丹亭,第十出,醉扶归,否,60,青,一片青,池馆苍苔一片青,正文
34,牡丹亭,第十出,醉扶归,否,60,金,煞小金铃,惜花疼煞小金铃,正文
35,牡丹亭,第十出,皂罗袍,否,61,紫,来姹紫嫣红,原来姹紫嫣红开遍,正文
35,牡丹亭,第十出,皂罗袍,否,61,红,紫嫣红开遍,原来姹紫嫣红开遍,正文
35,牡丹亭,第十出,皂罗袍,否,61,丹,那牡丹还早,那牡丹还早,正文
35,牡丹亭,第十出,皂罗袍,否,61,翠,云霞翠轩；,云霞翠轩；雨丝风片,正文
36,牡丹亭,第十出,好姐姐,否,62,青,遍青山啼,遍青山啼红了杜鹃,正文
36,牡丹亭,第十出,好姐姐,否,62,红,山啼红了杜,遍青山啼红了杜鹃,正文
36,牡丹亭,第十出,好姐姐,否,62,丹,牡丹虽好,牡丹虽好,正文
37,牡丹亭,第十出,隔尾,否,63,紫,映山紫,瓶插映山紫,正文
37,牡丹亭,第十出,隔尾,否,63,红,《题红记》,曾有《题红记》、《崔徽传》二书,正文
37,牡丹亭,第十出,隔尾,否,63,青,虚度青春,诚为虚度青春,正文
38,牡丹亭,第十出,山坡羊,否,64,青,把青春抛,把青春抛的远,正文
39,牡丹亭,第十出,山桃红,否,65,红,山桃红,山桃红,曲牌
39,牡丹亭,第十出,山桃红,否,65,红,红衣插,红衣插花上,括号
39,牡丹亭,第十出,山桃红,否,65,红,伤心红雨下,蘸客伤心红雨下,正文
40,牡丹亭,第十出,鲍老催,否,66,翠,娇凝翠绽魂,一般儿娇凝翠绽魂儿颤,正文
40,牡丹亭,第十出,鲍老催,否,66,红,碎的红如片,拈花闪碎的红如片,正文
41,牡丹亭,第十出,山桃红,否,67,红,山桃红,山桃红,曲牌
41,牡丹亭,第十出,山桃红,否,67,红,红松翠,红松翠偏,正文
41,牡丹亭,第十出,山桃红,否,67,翠,红松翠偏,红松翠偏,正文
41,牡丹亭,第十出,山桃红,否,67,黄,婿坐黄堂,“夫婿坐黄堂,正文
41,牡丹亭,第十出,山桃红,否,67,丹,去牡丹亭畔,将奴搂抱去牡丹亭畔,正文
