序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
30,南柯记,第八出,谒金门前,否,50,金,谒金门前,谒金门前,曲牌
31,南柯记,第八出,谒金门后,否,51,金,谒金门后,谒金门后,曲牌
31,南柯记,第八出,谒金门后,否,51,白,白玉齿,白玉齿边流舍利,正文
31,南柯记,第八出,谒金门后,否,51,红,红莲舌,红莲舌上放毫光,正文
32,南柯记,第八出,梁州序,否,52,金,人天金界,人天金界,正文
33,南柯记,第八出,梁州序,是,53,紫,价值紫金百,价值紫金百千两,正文
33,南柯记,第八出,梁州序,是,53,金,值紫金百千,价值紫金百千两,正文
33,南柯记,第八出,梁州序,是,53,金,附有金凤钗,附有金凤钗一双,正文
34,南柯记,第八出,梁州序,是,54,紫,紫衣师,紫衣师天眼摩诃,正文
34,南柯记,第八出,梁州序,是,54,金,金钗犀,金钗犀盒,正文
35,南柯记,第八出,梁州序,是,55,金,巧金钗对,巧金钗对凤飞斜,正文
35,南柯记,第八出,梁州序,是,55,金,赛暖金一枚,赛暖金一枚犀盒,正文
35,南柯记,第八出,梁州序,是,55,白,座前白鹦哥,倩观音座前白鹦哥叫醒他,正文
36,南柯记,第八出,节节高,否,56,翠,飞影翠娥,双飞影翠娥,正文
36,南柯记,第八出,节节高,否,56,金,订做金钿盒,和我拈香订做金钿盒,正文
0,南柯记,第八出,节节高,是,57
0,南柯记,第八出,尾声,否,58
0,南柯记,第九出,西江引前,否,59
37,南柯记,第九出,西江引后,否,60,青,郎客青袍骏,郎客青袍骏马,正文
37,南柯记,第九出,西江引后,否,60,金,犀盒金钗,我和上真子于讲下献上公主的犀盒金钗,正文
38,南柯记,第九出,黄莺儿,否,61,黄,黄莺儿,黄莺儿,曲牌
0,南柯记,第九出,黄莺儿,是,62
39,南柯记,第九出,尾声,否,63,紫,差的紫衣使,差的紫衣使者去相迎待,正文
40,南柯记,第十出,驻云飞,否,64,金,谁家金凤钗,记得谁家金凤钗,正文
0,南柯记,第十出,驻云飞,是,65
41,南柯记,第十出,驻云飞,是,66,青,有个青儿背,有个青儿背,正文
41,南柯记,第十出,驻云飞,是,66,红,少个红儿睡,少个红儿睡,正文
41,南柯记,第十出,驻云飞,是,66,红,向霜红叶上,老向霜红叶上催,正文
0,南柯记,第十出,驻云飞,是,67
42,南柯记,第十出,驻云飞,是,68,白,似太白驴驼,似太白驴驼压绣骢,正文
42,南柯记,第十出,驻云飞,是,68,黑,扮二黑巾紫,（扮二黑巾紫衣,括号
42,南柯记,第十出,驻云飞,是,68,紫,黑巾紫衣,（扮二黑巾紫衣,括号
42,南柯记,第十出,驻云飞,是,68,紫,（紫衣跪,（紫衣跪介,正文
43,南柯记,第十出,锁南枝,否,69,紫,（紫,（紫,正文
43,南柯记,第十出,锁南枝,否,69,紫,（紫扶生,（紫扶生起介,正文
