诗人
张泌
李绅
张子容
韦洵美
郑琼罗
李山甫
廉氏
徐凝
熊孺登
朱庆余
章碣
韦应物
常建
王建
赵嘏
景舜英
天竺牧童
崔鲁
杜甫
欧阳詹
李商隐
张南史
白居易
张建封
许浑
韦庄
张说
耿湋
伍乔
陈陶
谭峭
段成武
僧子兰
陈羽
王维
胡宿
杜牧
苗发
僧无则
张蠙
元稹
薛能
韩愈
唐彦谦
陆龟蒙
王昌龄
曹松
戴叔伦
朱褒
朱湾
王遵
卢纶
张祜
刘长卿
顾况
吴融
郑谷
刘禹锡
刘氏
罗邺
羊士谔
张乔
郑畋
陈标
刘言史
章孝标
皮日休
温庭筠
岑参
崔日用
于鹄
潘雍
罗虬
张曙
项斯
李端
韦氏子
殷文圭
崔道融
李白
谭用之
司空图
曹唐
王实辅
薛逢
释皎然
杜审言
刘商
薛据
张籍
韩偓
张继
张窈窕
钱起
段成式
雍陶
薛涛
窦巩
柳宗元
罗隐
苏广文
